,Unnamed: 0,algorithm,num_nodes,ratio_fraction,domain_size,sample_size,trial,time,equiv,precision,recall,f1,pure,structural
0,0,MIIC,5,1.1,2,100,0,0.0039660930633544,False,0.0,0.0,0.0,5,5
1,1,GHC,5,1.1,2,100,0,0.0117149353027343,False,0.75,0.6,0.6666666666666665,3,3
2,2,FCI,5,1.1,2,100,0,0.0025131702423095,False,0.0,0.0,0.0,5,5
3,3,MIIC,5,1.1,2,100,1,0.001957893371582,False,1.0,0.6,0.7499999999999999,2,2
4,4,GHC,5,1.1,2,100,1,0.0102770328521728,False,1.0,0.6,0.7499999999999999,2,2
5,5,FCI,5,1.1,2,100,1,0.0017862319946289,False,1.0,0.4,0.5714285714285715,3,3
6,6,MIIC,5,1.1,2,100,2,0.0015900135040283,False,1.0,0.6,0.7499999999999999,2,3
7,7,GHC,5,1.1,2,100,2,0.0108828544616699,False,1.0,0.4,0.5714285714285715,3,3
8,8,FCI,5,1.1,2,100,2,0.0013141632080078,False,0.0,0.0,0.0,0,0
9,9,MIIC,5,1.1,2,100,3,0.0011827945709228,False,0.0,0.0,0.0,5,5
10,10,GHC,5,1.1,2,100,3,0.0086920261383056,False,0.0,0.0,0.0,5,5
11,11,FCI,5,1.1,2,100,3,0.000547170639038,False,0.0,0.0,0.0,5,5
12,12,MIIC,5,1.1,2,100,4,0.0016388893127441,False,1.0,0.6,0.7499999999999999,2,2
13,13,GHC,5,1.1,2,100,4,0.0106031894683837,False,1.0,0.6,0.7499999999999999,2,2
14,14,FCI,5,1.1,2,100,4,0.0013630390167236,False,0.0,0.0,0.0,0,0
15,15,MIIC,5,1.1,2,250,0,0.0014500617980957,False,1.0,0.6,0.7499999999999999,2,2
16,16,GHC,5,1.1,2,250,0,0.009753942489624,False,1.0,0.8,0.888888888888889,1,4
17,17,FCI,5,1.1,2,250,0,0.0016698837280273,False,0.0,0.0,0.0,0,0
18,18,MIIC,5,1.1,2,250,1,0.0015020370483398,False,1.0,0.6,0.7499999999999999,2,3
19,19,GHC,5,1.1,2,250,1,0.0098371505737304,False,1.0,0.6,0.7499999999999999,2,3
