,algorithm,num_nodes,ratio_fraction,domain_size,sample_size,trial,time,equiv,precision,recall,f1,pure,structural
0,MIIC,5,1.1,2,100,0,0.003966093063354492,False,0.0,0.0,0.0,5,5
1,GHC,5,1.1,2,100,0,0.011714935302734375,False,0.75,0.6,0.6666666666666665,3,3
2,FCI,5,1.1,2,100,0,0.0025131702423095703,False,0.0,0.0,0.0,5,5
3,MIIC,5,1.1,2,100,1,0.0019578933715820312,False,1.0,0.6,0.7499999999999999,2,2
4,GHC,5,1.1,2,100,1,0.010277032852172852,False,1.0,0.6,0.7499999999999999,2,2
5,FCI,5,1.1,2,100,1,0.0017862319946289062,False,1.0,0.4,0.5714285714285715,3,3
6,MIIC,5,1.1,2,100,2,0.0015900135040283203,False,1.0,0.6,0.7499999999999999,2,3
7,GHC,5,1.1,2,100,2,0.010882854461669922,False,1.0,0.4,0.5714285714285715,3,3
8,FCI,5,1.1,2,100,2,0.0013141632080078125,False,-1.0,-1.0,-1.0,-1,-1
9,MIIC,5,1.1,2,100,3,0.0011827945709228516,False,0.0,0.0,0.0,5,5
10,GHC,5,1.1,2,100,3,0.008692026138305664,False,0.0,0.0,0.0,5,5
11,FCI,5,1.1,2,100,3,0.0005471706390380859,False,0.0,0.0,0.0,5,5
12,MIIC,5,1.1,2,100,4,0.0016388893127441406,False,1.0,0.6,0.7499999999999999,2,2
13,GHC,5,1.1,2,100,4,0.010603189468383789,False,1.0,0.6,0.7499999999999999,2,2
14,FCI,5,1.1,2,100,4,0.0013630390167236328,False,-1.0,-1.0,-1.0,-1,-1
15,MIIC,5,1.1,2,250,0,0.0014500617980957031,False,1.0,0.6,0.7499999999999999,2,2
16,GHC,5,1.1,2,250,0,0.009753942489624023,False,1.0,0.8,0.888888888888889,1,4
17,FCI,5,1.1,2,250,0,0.0016698837280273438,False,-1.0,-1.0,-1.0,-1,-1
18,MIIC,5,1.1,2,250,1,0.0015020370483398438,False,1.0,0.6,0.7499999999999999,2,3
19,GHC,5,1.1,2,250,1,0.009837150573730469,False,1.0,0.6,0.7499999999999999,2,3
20,FCI,5,1.1,2,250,1,0.001294851303100586,False,-1.0,-1.0,-1.0,-1,-1
21,MIIC,5,1.1,2,250,2,0.001558065414428711,False,1.0,0.6,0.7499999999999999,2,4
22,GHC,5,1.1,2,250,2,0.010059833526611328,False,1.0,0.8,0.888888888888889,1,2
23,FCI,5,1.1,2,250,2,0.0017180442810058594,False,-1.0,-1.0,-1.0,-1,-1
24,MIIC,5,1.1,2,250,3,0.0014867782592773438,False,1.0,0.6,0.7499999999999999,2,4
25,GHC,5,1.1,2,250,3,0.00984501838684082,False,1.0,0.6,0.7499999999999999,2,4
26,FCI,5,1.1,2,250,3,0.001065969467163086,False,1.0,0.6,0.7499999999999999,2,4
27,MIIC,5,1.1,2,250,4,0.001383066177368164,False,1.0,0.4,0.5714285714285715,3,4
28,GHC,5,1.1,2,250,4,0.008878946304321289,False,1.0,0.4,0.5714285714285715,3,4
29,FCI,5,1.1,2,250,4,0.0008447170257568359,False,1.0,0.4,0.5714285714285715,3,4
30,MIIC,5,1.1,2,500,0,0.0013661384582519531,False,1.0,0.4,0.5714285714285715,3,3
31,GHC,5,1.1,2,500,0,0.008933067321777344,False,1.0,0.4,0.5714285714285715,3,3
32,FCI,5,1.1,2,500,0,0.0007457733154296875,False,1.0,0.4,0.5714285714285715,3,3
33,MIIC,5,1.1,2,500,1,0.0018470287322998047,False,1.0,0.8,0.888888888888889,1,3
34,GHC,5,1.1,2,500,1,0.010098934173583984,False,1.0,0.8,0.888888888888889,1,3
35,FCI,5,1.1,2,500,1,0.002300739288330078,False,-1.0,-1.0,-1.0,-1,-1
36,MIIC,5,1.1,2,500,2,0.0016009807586669922,False,1.0,0.6,0.7499999999999999,2,3
37,GHC,5,1.1,2,500,2,0.009917974472045898,False,0.8,0.8,0.8000000000000002,2,5
38,FCI,5,1.1,2,500,2,0.0010440349578857422,False,1.0,0.6,0.7499999999999999,2,3
39,MIIC,5,1.1,2,500,3,0.0017538070678710938,False,1.0,0.8,0.888888888888889,1,3
40,GHC,5,1.1,2,500,3,0.010106801986694336,False,0.8,0.8,0.8000000000000002,2,6
41,FCI,5,1.1,2,500,3,0.00164794921875,False,-1.0,-1.0,-1.0,-1,-1
42,MIIC,5,1.1,2,500,4,0.0014519691467285156,False,1.0,0.6,0.7499999999999999,2,4
43,GHC,5,1.1,2,500,4,0.00978398323059082,False,1.0,0.8,0.888888888888889,1,1
44,FCI,5,1.1,2,500,4,0.001071929931640625,False,-1.0,-1.0,-1.0,-1,-1
45,MIIC,5,1.1,2,1000,0,0.0019299983978271484,False,1.0,0.8,0.888888888888889,1,3
46,GHC,5,1.1,2,1000,0,0.009769916534423828,False,1.0,0.8,0.888888888888889,1,3
47,FCI,5,1.1,2,1000,0,0.002913951873779297,False,-1.0,-1.0,-1.0,-1,-1
48,MIIC,5,1.1,2,1000,1,0.002658843994140625,False,1.0,1.0,1.0,0,0
49,GHC,5,1.1,2,1000,1,0.01043391227722168,False,1.0,1.0,1.0,0,0
50,FCI,5,1.1,2,1000,1,0.0037970542907714844,False,-1.0,-1.0,-1.0,-1,-1
51,MIIC,5,1.1,2,1000,2,0.0015196800231933594,False,1.0,0.4,0.5714285714285715,3,4
52,GHC,5,1.1,2,1000,2,0.01002812385559082,False,1.0,0.8,0.888888888888889,1,3
53,FCI,5,1.1,2,1000,2,0.0008230209350585938,False,1.0,0.4,0.5714285714285715,3,4
54,MIIC,5,1.1,2,1000,3,0.0019571781158447266,False,1.0,0.8,0.888888888888889,1,2
55,GHC,5,1.1,2,1000,3,0.009799957275390625,False,1.0,0.6,0.7499999999999999,2,2
56,FCI,5,1.1,2,1000,3,0.002095937728881836,False,-1.0,-1.0,-1.0,-1,-1
57,MIIC,5,1.1,2,1000,4,0.0016362667083740234,False,1.0,0.6,0.7499999999999999,2,3
58,GHC,5,1.1,2,1000,4,0.009539127349853516,False,0.6666666666666666,0.4,0.5,4,5
59,FCI,5,1.1,2,1000,4,0.0012309551239013672,False,-1.0,-1.0,-1.0,-1,-1
60,MIIC,5,1.1,3,100,0,0.0016217231750488281,False,1.0,0.8,0.888888888888889,1,3
61,GHC,5,1.1,3,100,0,0.011043071746826172,False,1.0,0.8,0.888888888888889,1,3
62,FCI,5,1.1,3,100,0,0.0014128684997558594,False,1.0,0.4,0.5714285714285715,3,3
63,MIIC,5,1.1,3,100,1,0.0020949840545654297,False,1.0,1.0,1.0,0,0
64,GHC,5,1.1,3,100,1,0.010903120040893555,False,1.0,1.0,1.0,0,0
65,FCI,5,1.1,3,100,1,0.003195047378540039,False,-1.0,-1.0,-1.0,-1,-1
66,MIIC,5,1.1,3,100,2,0.0012929439544677734,False,1.0,0.4,0.5714285714285715,3,3
67,GHC,5,1.1,3,100,2,0.009859085083007812,False,1.0,0.4,0.5714285714285715,3,3
68,FCI,5,1.1,3,100,2,0.0010333061218261719,False,1.0,0.6,0.7499999999999999,2,2
69,MIIC,5,1.1,3,100,3,0.0011949539184570312,False,0.0,0.0,0.0,5,5
70,GHC,5,1.1,3,100,3,0.009518146514892578,False,0.0,0.0,0.0,5,5
71,FCI,5,1.1,3,100,3,0.0006730556488037109,False,1.0,0.2,0.33333333333333337,4,5
72,MIIC,5,1.1,3,100,4,0.0012390613555908203,False,1.0,0.25,0.4,3,4
73,GHC,5,1.1,3,100,4,0.00900888442993164,False,1.0,0.25,0.4,3,4
74,FCI,5,1.1,3,100,4,0.000965118408203125,False,1.0,0.25,0.4,3,4
75,MIIC,5,1.1,3,250,0,0.0015149116516113281,False,1.0,0.6,0.7499999999999999,2,2
76,GHC,5,1.1,3,250,0,0.009910106658935547,False,1.0,0.6,0.7499999999999999,2,2
77,FCI,5,1.1,3,250,0,0.0011560916900634766,False,1.0,0.6,0.7499999999999999,2,2
78,MIIC,5,1.1,3,250,1,0.0012259483337402344,False,1.0,0.25,0.4,3,3
79,GHC,5,1.1,3,250,1,0.008452177047729492,False,1.0,0.25,0.4,3,3
80,FCI,5,1.1,3,250,1,0.0007009506225585938,False,1.0,0.5,0.6666666666666666,2,3
81,MIIC,5,1.1,3,250,2,0.0015060901641845703,False,1.0,0.25,0.4,3,4
82,GHC,5,1.1,3,250,2,0.008563041687011719,False,1.0,0.25,0.4,3,4
83,FCI,5,1.1,3,250,2,0.0011031627655029297,False,1.0,0.25,0.4,3,4
84,MIIC,5,1.1,3,250,3,0.001962900161743164,False,1.0,1.0,1.0,0,0
85,GHC,5,1.1,3,250,3,0.011168956756591797,False,0.8333333333333334,1.0,0.9090909090909091,1,1
86,FCI,5,1.1,3,250,3,0.0023560523986816406,False,-1.0,-1.0,-1.0,-1,-1
87,MIIC,5,1.1,3,250,4,0.0018668174743652344,False,1.0,0.8,0.888888888888889,1,1
88,GHC,5,1.1,3,250,4,0.00972604751586914,False,1.0,0.8,0.888888888888889,1,3
89,FCI,5,1.1,3,250,4,0.0032057762145996094,False,-1.0,-1.0,-1.0,-1,-1
90,MIIC,5,1.1,3,500,0,0.0019369125366210938,False,1.0,0.8,0.888888888888889,1,5
91,GHC,5,1.1,3,500,0,0.01022791862487793,False,1.0,0.8,0.888888888888889,1,1
92,FCI,5,1.1,3,500,0,0.004240274429321289,False,-1.0,-1.0,-1.0,-1,-1
93,MIIC,5,1.1,3,500,1,0.0018718242645263672,False,1.0,1.0,1.0,0,0
94,GHC,5,1.1,3,500,1,0.010838985443115234,False,1.0,1.0,1.0,0,0
95,FCI,5,1.1,3,500,1,0.0023381710052490234,False,-1.0,-1.0,-1.0,-1,-1
96,MIIC,5,1.1,3,500,2,0.0018291473388671875,False,1.0,1.0,1.0,0,0
97,GHC,5,1.1,3,500,2,0.010313987731933594,False,1.0,1.0,1.0,0,0
98,FCI,5,1.1,3,500,2,0.003706693649291992,False,-1.0,-1.0,-1.0,-1,-1
99,MIIC,5,1.1,3,500,3,0.0019099712371826172,False,1.0,1.0,1.0,0,0
100,GHC,5,1.1,3,500,3,0.010768890380859375,False,1.0,1.0,1.0,0,0
101,FCI,5,1.1,3,500,3,0.0015170574188232422,False,-1.0,-1.0,-1.0,-1,-1
102,MIIC,5,1.1,3,500,4,0.0015289783477783203,False,1.0,0.6,0.7499999999999999,2,2
103,GHC,5,1.1,3,500,4,0.009720087051391602,False,1.0,0.8,0.888888888888889,1,3
104,FCI,5,1.1,3,500,4,0.0016431808471679688,False,-1.0,-1.0,-1.0,-1,-1
105,MIIC,5,1.1,3,1000,0,0.002254962921142578,False,1.0,1.0,1.0,0,0
106,GHC,5,1.1,3,1000,0,0.010686874389648438,False,1.0,1.0,1.0,0,0
107,FCI,5,1.1,3,1000,0,0.0026209354400634766,False,-1.0,-1.0,-1.0,-1,-1
108,MIIC,5,1.1,3,1000,1,0.0019168853759765625,False,1.0,0.8,0.888888888888889,1,3
109,GHC,5,1.1,3,1000,1,0.011265039443969727,False,0.7142857142857143,1.0,0.8333333333333333,2,4
110,FCI,5,1.1,3,1000,1,0.0019788742065429688,False,-1.0,-1.0,-1.0,-1,-1
111,MIIC,5,1.1,3,1000,2,0.0016198158264160156,False,1.0,0.4,0.5714285714285715,3,3
112,GHC,5,1.1,3,1000,2,0.009042024612426758,False,1.0,0.4,0.5714285714285715,3,3
113,FCI,5,1.1,3,1000,2,0.0016713142395019531,False,-1.0,-1.0,-1.0,-1,-1
114,MIIC,5,1.1,3,1000,3,0.0019412040710449219,False,0.75,0.6,0.6666666666666665,3,5
115,GHC,5,1.1,3,1000,3,0.011068105697631836,False,0.75,0.6,0.6666666666666665,3,5
116,FCI,5,1.1,3,1000,3,0.002048015594482422,False,-1.0,-1.0,-1.0,-1,-1
117,MIIC,5,1.1,3,1000,4,0.0019991397857666016,False,1.0,1.0,1.0,0,4
118,GHC,5,1.1,3,1000,4,0.009778261184692383,False,1.0,0.8,0.888888888888889,1,2
119,FCI,5,1.1,3,1000,4,0.0031380653381347656,False,-1.0,-1.0,-1.0,-1,-1
120,MIIC,5,1.1,4,100,0,0.0015530586242675781,False,1.0,0.4,0.5714285714285715,3,3
121,GHC,5,1.1,4,100,0,0.010174036026000977,False,1.0,0.4,0.5714285714285715,3,3
122,FCI,5,1.1,4,100,0,0.0008709430694580078,False,1.0,0.2,0.33333333333333337,4,4
123,MIIC,5,1.1,4,100,1,0.0020258426666259766,False,1.0,1.0,1.0,0,0
124,GHC,5,1.1,4,100,1,0.010102987289428711,False,1.0,0.75,0.8571428571428571,1,1
125,FCI,5,1.1,4,100,1,0.0018157958984375,False,-1.0,-1.0,-1.0,-1,-1
126,MIIC,5,1.1,4,100,2,0.0014178752899169922,False,1.0,0.4,0.5714285714285715,3,5
127,GHC,5,1.1,4,100,2,0.010817766189575195,False,0.75,0.6,0.6666666666666665,3,4
128,FCI,5,1.1,4,100,2,0.0010859966278076172,False,-1.0,-1.0,-1.0,-1,-1
129,MIIC,5,1.1,4,100,3,0.0015339851379394531,False,1.0,0.4,0.5714285714285715,3,3
130,GHC,5,1.1,4,100,3,0.010908126831054688,False,1.0,0.4,0.5714285714285715,3,3
131,FCI,5,1.1,4,100,3,0.0008571147918701172,False,1.0,0.4,0.5714285714285715,3,3
132,MIIC,5,1.1,4,100,4,0.0012447834014892578,False,1.0,0.2,0.33333333333333337,4,4
133,GHC,5,1.1,4,100,4,0.00996708869934082,False,1.0,0.2,0.33333333333333337,4,4
134,FCI,5,1.1,4,100,4,0.0007050037384033203,False,1.0,0.2,0.33333333333333337,4,4
135,MIIC,5,1.1,4,250,0,0.0017650127410888672,False,1.0,0.8,0.888888888888889,1,4
136,GHC,5,1.1,4,250,0,0.010090112686157227,False,1.0,1.0,1.0,0,0
137,FCI,5,1.1,4,250,0,0.004130125045776367,False,-1.0,-1.0,-1.0,-1,-1
138,MIIC,5,1.1,4,250,1,0.001699209213256836,False,1.0,1.0,1.0,0,0
139,GHC,5,1.1,4,250,1,0.010084867477416992,False,1.0,1.0,1.0,0,0
140,FCI,5,1.1,4,250,1,0.0015430450439453125,False,-1.0,-1.0,-1.0,-1,-1
141,MIIC,5,1.1,4,250,2,0.0012297630310058594,False,1.0,0.2,0.33333333333333337,4,4
142,GHC,5,1.1,4,250,2,0.00853109359741211,False,1.0,0.2,0.33333333333333337,4,4
143,FCI,5,1.1,4,250,2,0.0008609294891357422,False,1.0,0.4,0.5714285714285715,3,4
144,MIIC,5,1.1,4,250,3,0.0015652179718017578,False,1.0,0.8,0.888888888888889,1,1
145,GHC,5,1.1,4,250,3,0.010065078735351562,False,1.0,0.6,0.7499999999999999,2,2
146,FCI,5,1.1,4,250,3,0.0014667510986328125,False,-1.0,-1.0,-1.0,-1,-1
147,MIIC,5,1.1,4,250,4,0.0014901161193847656,False,1.0,0.75,0.8571428571428571,1,4
148,GHC,5,1.1,4,250,4,0.008988142013549805,False,1.0,0.5,0.6666666666666666,2,4
149,FCI,5,1.1,4,250,4,0.0012171268463134766,False,1.0,0.5,0.6666666666666666,2,4
150,MIIC,5,1.1,4,500,0,0.0013561248779296875,False,1.0,0.4,0.5714285714285715,3,4
151,GHC,5,1.1,4,500,0,0.008867979049682617,False,1.0,0.4,0.5714285714285715,3,4
152,FCI,5,1.1,4,500,0,0.0014920234680175781,False,-1.0,-1.0,-1.0,-1,-1
153,MIIC,5,1.1,4,500,1,0.0015392303466796875,False,1.0,0.6,0.7499999999999999,2,3
154,GHC,5,1.1,4,500,1,0.010289192199707031,False,0.75,0.6,0.6666666666666665,3,5
155,FCI,5,1.1,4,500,1,0.0030939579010009766,False,-1.0,-1.0,-1.0,-1,-1
156,MIIC,5,1.1,4,500,2,0.0016779899597167969,False,1.0,0.8,0.888888888888889,1,2
157,GHC,5,1.1,4,500,2,0.010013103485107422,False,1.0,0.8,0.888888888888889,1,2
158,FCI,5,1.1,4,500,2,0.0025053024291992188,False,-1.0,-1.0,-1.0,-1,-1
159,MIIC,5,1.1,4,500,3,0.0013179779052734375,False,1.0,0.4,0.5714285714285715,3,5
160,GHC,5,1.1,4,500,3,0.008888006210327148,False,1.0,0.4,0.5714285714285715,3,5
161,FCI,5,1.1,4,500,3,0.0016820430755615234,False,1.0,0.2,0.33333333333333337,4,5
162,MIIC,5,1.1,4,500,4,0.0013759136199951172,False,1.0,0.4,0.5714285714285715,3,3
163,GHC,5,1.1,4,500,4,0.00858926773071289,False,1.0,0.2,0.33333333333333337,4,4
164,FCI,5,1.1,4,500,4,0.0009441375732421875,False,1.0,0.4,0.5714285714285715,3,3
165,MIIC,5,1.1,4,1000,0,0.0015888214111328125,False,1.0,0.75,0.8571428571428571,1,4
166,GHC,5,1.1,4,1000,0,0.009521961212158203,False,1.0,0.75,0.8571428571428571,1,4
